ID,Clee,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
3815627,25006461110051851000000000U1,TIENDA DE ABARROTES,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,HIPERION,CALLEJON,HIPERION,CALZADA,CALZADA DE LA LUNA,CALLE,IGNACIO MANUEL ALTAMIRANO,3918,SN,,,0,,COLONIA,VILLA SATELITE,,,,80088,25,SINALOA,6,Culiacán,1,Culiacán Rosales,1604,32,,,,Fijo,24.80709723,-107.3572169,2014-12
3820207,25006461110062601000000000U7,ABARROTES BARELAS,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,MINA LA VALENCIANA,AVENIDA,PARTICIPACION CIUDADANA,AVENIDA,SOLIDARIDAD,CALLE,MINA CERRO DE LA BUFA,871,,,,,,COLONIA,HUIZACHES,,,,80298,25,SINALOA,6,Culiacán,1,Culiacán Rosales,3973,23,6674768177,,,Fijo,24.75770672,-107.3842453,2014-12
3847626,25006461110036371000000000U0,ABARROTES MELY,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,AVENIDA,REY MELCHOR,PRIVADA,DOS,CALLE,PRIMERA SUR,PRIVADA,DOS,,SN,,,,,COLONIA,LOMAS DE RODRIGUERA,,,,80019,25,SINALOA,6,Culiacán,1,Culiacán Rosales,3047,15,,,,Fijo,24.87010404,-107.3916298,2010-07
3846883,25006461110036841000000000U2,ABARROTES EVA,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,PRIMERO DE MAYO,CALLE,NINGUNO,BOULEVARD,OBRERO MUNDIAL,BOULEVARD,OBRERO MUNDIAL,3210,,,,0,,COLONIA,INFONAVIT HUMAYA,,,,80020,25,SINALOA,6,Culiacán,1,Culiacán Rosales,3992,19,6677501563,,,Fijo,24.82276018,-107.418068,2010-07
3783097,25006461110034961000000000U0,ABARROTES LETY,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,AVENIDA,CONSTITUYENTE DONATO BRAVO IZQUIERDO,CALLE,TOLTECAS,CALLE,AZTECAS,AVENIDA,CONSTITUYENTE SEBASTIÁN ALLENDE,3190,,,,,,COLONIA,INDUSTRIAL EL PALMITO,,,,80160,25,SINALOA,6,Culiacán,1,Culiacán Rosales,413,41,6677176730,,,Fijo,24.77973946,-107.4316701,2010-07
3785090,25006461110044021000000000U1,ABARROTES ARCELIA,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,SIERRA MADRE DEL SUR,CALLE,SIERRA DEL SOCONUSCO,CALLE,SIERRA MADRE ORIENTAL,CALLE,SIERRA MADRE OCCIDENTAL,1622,,,,,,COLONIA,INFONAVIT CAÑADAS,,,,80170,25,SINALOA,6,Culiacán,1,Culiacán Rosales,405A,7,,,,Fijo,24.7819113,-107.4047235,2010-07
7650131,25006461110069151000000000U6,SUPER MAS,GRUPO MODELO ,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,BOULEVARD,VILLAS DEL RIO,BOULEVARD,LIRIOS,CALLE,JOSE ANTONIO MALACON DIAZ,CALLE,NINGUNO,2817,,,,0,,COLONIA,VILLAS DEL RIO,,,,80050,25,SINALOA,6,Culiacán,1,Culiacán Rosales,6662,2,,,,Fijo,24.80527614,-107.4427851,2019-11
7390369,25006461110076681000000000U3,ABARROTES LR,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,CIMA DEL HUASCARAN,BOULEVARD,CORNETA FRANCISCO RAMIREZ,CALLE,CHURCHILL SUR,CALLE,CIMA DEL CÓNDOR,3881,,,,,,FRACCIONAMIENTO,ALTURAS DEL SUR,,,,80295,25,SINALOA,6,Culiacán,1,Culiacán Rosales,8635,1,,,,Fijo,24.76376475,-107.3541068,2019-11
9437698,25006461110081081000000000U9,ABARROTES JOSE,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,AVENIDA,FRANCISCO LABASTIDA OCHOA,CALLE,PLAN DE GUADALUPE,CALLE,DOCTOR ENRIQUE GONZALEZ MARTINEZ,CALLE,PLAN DE GUADALUPE,5613,4,,1,,,COLONIA,7 GOTAS,CENTRO Y PLAZA COMERCIAL,PLAZA ALEXIA,4,80247,25,SINALOA,6,Culiacán,1,Culiacán Rosales,5503,18,,,,Fijo,24.79343979,-107.3493244,2023-11
8262733,25006461110072571000000000U0,FRUTERIA ANGELA,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,MISION DE CARMELO,AVENIDA,LANDAS,CALLE,MISION DOLORES,CALLE,MISIÓN DE CARMELO,,SN,,,,,FRACCIONAMIENTO,CAPISTRANO,,,,80194,25,SINALOA,6,Culiacán,1,Culiacán Rosales,6658,11,,,,Fijo,24.74821529,-107.4157026,2019-11
3847653,25006461110020471000000000U6,ABARROTES LOS OLIVOS,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,AVENIDA,PASEO DE LOS OLIVOS,CALLE,PARAISO,CALLE,ENCINO,AVENIDA,PALMA,677,,,,,,FRACCIONAMIENTO,ALAMEDA,,,,80019,25,SINALOA,6,Culiacán,1,Culiacán Rosales,6272,36,,,,Fijo,24.86967209,-107.3851541,2010-07
3841020,25006461110035111000000000U1,ABARROTES ABIGAIL,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,AVENIDA,SAUCES,CALLE,CALLE DE LA CEBRA,CALLE,CALLE DE LA GACELA,AVENIDA,AVENIDA DE LOS ABEDULES,4298,,,,,,COLONIA,RENATO VEGA AMADOR,,,,80280,25,SINALOA,6,Culiacán,1,Culiacán Rosales,4685,17,,,,Fijo,24.78114474,-107.3492975,2010-07
9293013,25006461110080351000000000U7,BODEGA SIN NOMBRE,BODEGA SIN NOMBRE ,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,JOSE MARIA LEYVA,AVENIDA,GENERAL MACARIO GAXIOLA,AVENIDA,FRANCISCO ROQUE SERRANO,CALLE,MATEO ROCHA,2420,,,,,,COLONIA,FERROCARILERA,,,,80194,25,SINALOA,6,Culiacán,1,Culiacán Rosales,2335,26,,,,Fijo,24.76372696,-107.4287592,2020-11
3846840,25006461110031131000000000U3,ABARROTES MORENO,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,EMILE BERLINER,BOULEVARD,CONSTELACIONES,CALLE,CIRCULO DEL SOL,CALLE,SECOFI,2084,A,,,,,FRACCIONAMIENTO,VILLA FONTANA,,,,80029,25,SINALOA,6,Culiacán,1,Culiacán Rosales,5560,12,,,,Fijo,24.83624618,-107.4186747,2010-07
8048906,25006461110077481000000000U7,ABARROTES GONZALEZ,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,EL AZAROSO,CALLE,EL ALMENDRO,CALLE,VEREDA,CALLEJON,CALLEJÓN DE LOS MEZCALES,166,,,,0,,FRACCIONAMIENTO,LOS MEZCALES,,,,80019,25,SINALOA,6,Culiacán,1,Culiacán Rosales,3032,77,,,,Fijo,24.85943151,-107.3961753,2019-11
3837557,25006461110047052000000000U3,ABARROTES SIN NOMBRE,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLEJON,EL DORADO,CALLE,13 DE MARZO,CALLE,ARBOLEDA,PRIVADA,ÁLVARO OBREGÓN,1203,,,,,,COLONIA,RAFAEL BUELNA,,,,80230,25,SINALOA,6,Culiacán,1,Culiacán Rosales,3526,37,,,,Fijo,24.79284583,-107.3760558,2010-07
3835244,25006461110004831000000000U1,ABARROTES ALEJANDRO,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,GENERAL JOSE MARIA PATONI,CALLE,SEGUNDA,AVENIDA,JUAN DE LA CABADA,CALLE,GENERAL EULOGIO PARRA,5476,,,,0,,COLONIA,LA ESPERANZA,,,,80248,25,SINALOA,6,Culiacán,1,Culiacán Rosales,7374,14,,,,Fijo,24.78735603,-107.3487525,2010-07
9365781,25006461110080751000000000U8,ABARROTES MELISA,,461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",0 a 5 personas,CALLE,MONTE JAVA,AVENIDA,MONTE CHINCHEY,AVENIDA,MONTE PALPANA,CALLE,MONTE JAVA,4518,,,,,,FRACCIONAMIENTO,ALTURA DEL SUR,,,,80295,25,SINALOA,6,Culiacán,1,Culiacán Rosales,7266,15,,,,Fijo,24.76507635,-107.3470274,2021-05
